action step time_in_state q sp state_reward transition_reward
- 0 0.6871960660517306 0 1 0.0 0.0
[request] 1 0.0032602855211314855 1 2 1.0 0.0
[serve_last] 2 0.1324820337398707 0 1 0.0 0.0
[request] 3 0.006872743940270899 1 2 1.0 0.0
[serve_last] 4 0.2598650426748332 0 1 0.0 0.0
[request] 5 0.019661364727413578 1 2 1.0 0.0
[serve_last] 6 0.3163957915138529 0 1 0.0 0.0
[request] 7 0.005174940300989622 1 2 1.0 0.0
[serve_last] 8 0.4274693738172826 0 1 0.0 0.0
[request] 9 4.6774522595883296E-4 1 2 1.0 0.0
[serve_last] 10 1.3217911631217794 0 1 0.0 0.0
[request] 11 2.858595861599086E-4 1 2 1.0 0.0
[serve_last] 12 1.943260100276213 0 1 0.0 0.0
[request] 13 0.008018603566562222 1 2 1.0 0.0
[serve_last] 14 0.996146806216087 0 1 0.0 0.0
[request] 15 9.23602015451242E-4 1 2 1.0 0.0
[serve_last] 16 0.10386780712637914 0 1 0.0 0.0
[request] 17 3.1033426657414953E-4 1 2 1.0 0.0
[serve_last] 18 0.29338469035889253 0 1 0.0 0.0
[request] 19 0.003401071810214557 1 2 1.0 0.0
[serve_last] 20 0.09326477585140343 0 1 0.0 0.0
[request] 21 0.030682131819958356 1 2 1.0 0.0
[serve_last] 22 1.0655411767412932 0 1 0.0 0.0
[request] 23 9.453968884343303E-4 1 2 1.0 0.0
[serve_last] 24 0.30193456651437617 0 1 0.0 0.0
[request] 25 0.004443060782203191 1 2 1.0 0.0
[serve_last] 26 0.061710999756680075 0 1 0.0 0.0
[request] 27 0.01605515769315086 1 2 1.0 0.0
[serve_last] 28 0.16482919302651736 0 1 0.0 0.0
[request] 29 0.00578945285075626 1 2 1.0 0.0
[serve_last] 30 2.1780066986726867 0 1 0.0 0.0
[request] 31 8.098305116871985E-5 1 2 1.0 0.0
[serve_last] 32 1.9891546970665093 0 1 0.0 0.0
[request] 33 0.004876914062944011 1 2 1.0 0.0
[serve_last] 34 0.16464859008555932 0 1 0.0 0.0
[request] 35 0.0021675769201186896 1 2 1.0 0.0
[serve_last] 36 0.5497853261108622 0 1 0.0 0.0
[request] 37 0.0037047830876240986 1 2 1.0 0.0
[serve_last] 38 0.517787350085044 0 1 0.0 0.0
[request] 39 0.0021764279199269067 1 2 1.0 0.0
[serve_last] 40 0.0038222771758541657 0 1 0.0 0.0
