action step time_in_state q sp state_reward transition_reward
- 0 0.19472513343731043 0 1 0.0 0.0
[request] 1 0.0049907515462546915 1 2 1.0 0.0
[request] 2 0.0021705425454039812 2 2 2.0 0.0
[serve] 3 0.014449336886522994 1 2 1.0 0.0
[serve_last] 4 0.7828059572782271 0 1 0.0 0.0
[request] 5 0.009262096279705388 1 2 1.0 0.0
[request] 6 0.018056724768621576 2 2 2.0 0.0
[request] 7 0.008851618515066325 3 2 3.0 0.0
[request] 8 0.004099661642586746 4 2 4.0 0.0
[request] 9 0.002964974549128357 5 2 5.0 0.0
[serve] 10 0.005066230302619478 4 2 4.0 0.0
[serve] 11 0.015311403727790683 3 2 3.0 0.0
[serve] 12 0.015125494228108804 2 2 2.0 0.0
[serve] 13 0.008322638201400463 1 2 1.0 0.0
[request] 14 0.015448005483044527 2 2 2.0 0.0
[request] 15 0.019372878180319904 3 2 3.0 0.0
[serve] 16 0.0032598606215594353 2 2 2.0 0.0
[serve] 17 0.0013143052513838174 1 2 1.0 0.0
[serve_last] 18 0.09426495220981551 0 1 0.0 0.0
[request] 19 0.005107495171233533 1 2 1.0 0.0
[request] 20 0.0029208786389909444 2 2 2.0 0.0
[request] 21 0.001729826053978515 3 2 3.0 0.0
[request] 22 0.009621748283823568 4 2 4.0 0.0
[request] 23 0.00568772468614487 5 2 5.0 0.0
[request] 24 6.093635393880821E-5 6 2 6.0 0.0
[serve] 25 0.014100358844037552 5 2 5.0 0.0
[request] 26 0.0038019591022425236 6 2 6.0 0.0
[serve] 27 0.0031709934331475183 5 2 5.0 0.0
[request] 28 0.009314990745860388 6 2 6.0 0.0
[request] 29 0.0024823402779676944 7 2 7.0 0.0
[serve] 30 0.018783988378449037 6 2 6.0 0.0
[request] 31 0.0033083491826173613 7 2 7.0 0.0
[serve] 32 0.0010657191419584087 6 2 6.0 0.0
[request] 33 0.0064013656576276294 7 2 7.0 0.0
[serve] 34 4.197790926950331E-4 6 2 6.0 0.0
[serve] 35 0.0068896156113299745 5 2 5.0 0.0
[serve] 36 0.0022815442913175217 4 2 4.0 0.0
[serve] 37 0.01453671077239542 3 2 3.0 0.0
[request] 38 0.0012479939537786914 4 2 4.0 0.0
[serve] 39 0.0029185335065816426 3 2 3.0 0.0
[serve] 40 0.009402849792329467 2 2 2.0 0.0
[serve] 41 0.002760166942680104 1 2 1.0 0.0
[request] 42 0.008196075661209366 2 2 2.0 0.0
[request] 43 0.006199329947682185 3 2 3.0 0.0
[request] 44 8.062316538774117E-4 4 2 4.0 0.0
[request] 45 0.0023054147090892287 5 2 5.0 0.0
[serve] 46 0.0013514085706504318 4 2 4.0 0.0
[request] 47 0.007635902232979602 5 2 5.0 0.0
[request] 48 0.01783759750609253 6 2 6.0 0.0
[request] 49 0.0021223302084184357 7 2 7.0 0.0
[request] 50 0.022437455073220102 8 2 8.0 0.0
[request] 51 0.011550414024777366 9 2 9.0 0.0
[request] 52 0.00216556255870636 10 2 10.0 0.0
[serve] 53 3.392306821415484E-4 9 2 9.0 0.0
[request] 54 0.008579869773141558 10 2 10.0 0.0
[serve] 55 0.010851515040991097 9 2 9.0 0.0
[serve] 56 0.0022331316821606476 8 2 8.0 0.0
[serve] 57 0.007727023573949605 7 2 7.0 0.0
[request] 58 0.0014090911498002997 8 2 8.0 0.0
[serve] 59 0.00182512973011228 7 2 7.0 0.0
[serve] 60 0.011077603923741838 6 2 6.0 0.0
[serve] 61 0.0033103781733995123 5 2 5.0 0.0
[serve] 62 6.882488622385344E-4 4 2 4.0 0.0
[request] 63 6.438394231721193E-4 5 2 5.0 0.0
[serve] 64 0.0015256301021496792 4 2 4.0 0.0
[serve] 65 0.01008312885592083 3 2 3.0 0.0
[serve] 66 0.010357344287072853 2 2 2.0 0.0
[serve] 67 0.0 1 2 0.0 0.0
[serve_last] 68 0.0 0 1 0.0 0.0
